loss,metric_acc,metric_f1,metric_precision,metric_recall,time,lr,val_loss,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,val_time
2.304450511932373,0.1,0.01818181818181818,0.01,0.1,0.0500032901763916,0.01,2.302037239074707,0.1,0.01818181818181818,0.01,0.1,0.03999829292297363
2.3006834983825684,0.13,0.04687666135034556,0.05744793166330742,0.12976190476190477,0.040000200271606445,0.01,2.3007895946502686,0.18166667,0.06756141464495197,0.04232995175265305,0.18212290502793296,0.050000667572021484
2.2982616424560547,0.12,0.06037576858764203,0.0519879243563454,0.1180952380952381,0.05000019073486328,0.01,2.2992141246795654,0.15833333,0.08254472984380257,0.07619922969187674,0.15887647423960274,0.0400238037109375
2.294865608215332,0.14,0.12807708132251744,0.14028533719544956,0.13571428571428573,0.040001630783081055,0.01,2.2977421283721924,0.22055556,0.15088369349562977,0.13359399476562211,0.2214587212911235,0.03999829292297363
2.290020227432251,0.17,0.1451562232494436,0.23094381252275992,0.16404761904761905,0.0500035285949707,0.01,2.2964489459991455,0.19388889,0.1130624397423329,0.10254809173355724,0.19467101179391683,0.03999686241149902
2.287907123565674,0.135,0.11300012991876254,0.11632986846094577,0.13,0.04999947547912598,0.01,2.294877052307129,0.16277778,0.09336725435019813,0.08949053125523712,0.16336126629422718,0.04000091552734375
2.2854866981506348,0.15,0.12570225232598972,0.12778114807566865,0.145,0.03999686241149902,0.01,2.2927074432373047,0.16611111,0.09160635508536431,0.0901763528927612,0.16664804469273745,0.04999995231628418
2.279263496398926,0.15,0.11873234001140978,0.12701187197557434,0.1445238095238095,0.0500028133392334,0.01,2.2897181510925293,0.18277778,0.10155471132848455,0.08730723910686991,0.18332402234636871,0.039998769760131836
2.2746829986572266,0.19,0.1605951792462898,0.16477996994711472,0.18476190476190474,0.04999971389770508,0.01,2.2862114906311035,0.195,0.10844889866564744,0.18728854481803317,0.1955586592178771,0.03999972343444824
2.273702383041382,0.19,0.14007008365848075,0.12250105202915382,0.18380952380952378,0.040003299713134766,0.01,2.2817752361297607,0.21111111,0.13016433242950964,0.16128875429599693,0.2116697703289882,0.05000114440917969
2.2654237747192383,0.215,0.17400289058475152,0.21738769488769488,0.2092857142857143,0.050000667572021484,0.01,2.2764620780944824,0.21388888,0.13397358999293416,0.16648185510590846,0.21445685909373063,0.04000091552734375
2.2576744556427,0.19,0.13988686901440486,0.12209018652438486,0.185,0.04999947547912598,0.01,2.2706282138824463,0.24277778,0.16677855820400914,0.1926467431243338,0.24352265673494725,0.04000353813171387
2.261103868484497,0.165,0.13751728645254108,0.1756989175723696,0.16142857142857142,0.060003042221069336,0.01,2.264375925064087,0.20277777,0.11933894164259282,0.13166016188077148,0.20328367473618872,0.03999805450439453
2.2583236694335938,0.16,0.11563442248372982,0.10224588818003177,0.15619047619047616,0.050005197525024414,0.01,2.25758695602417,0.21277778,0.1294169784813752,0.14486008323853938,0.2133147113594041,0.03999805450439453
2.245544195175171,0.2,0.15915034660715008,0.17150602665308548,0.19547619047619047,0.05000162124633789,0.01,2.250282049179077,0.22166666,0.13515821922698495,0.13664999865266422,0.22225015518311605,0.03999948501586914
2.2492129802703857,0.21,0.15893666948695412,0.1624417113683418,0.20404761904761903,0.05000114440917969,0.01,2.2425878047943115,0.24611111,0.15704115878223218,0.14651507811095477,0.24683426443202977,0.04000425338745117
2.2287774085998535,0.205,0.1642272531185981,0.16948894684550422,0.2,0.050000905990600586,0.01,2.234182357788086,0.25055555,0.16084843599919374,0.15270311164767922,0.2513221601489758,0.03999948501586914
2.213131904602051,0.25,0.19968134899039516,0.19523031062504745,0.24500000000000002,0.04999566078186035,0.01,2.2253339290618896,0.23944445,0.14281497743887145,0.211271056372482,0.2401365611421477,0.04999899864196777
2.216513156890869,0.265,0.2194305986199579,0.2166908761736348,0.25880952380952377,0.0500028133392334,0.01,2.2164368629455566,0.23944445,0.13852823151438803,0.1496736628228316,0.24014897579143385,0.03999900817871094
2.1982648372650146,0.22,0.1666080273699851,0.16225227798177613,0.21547619047619046,0.0500028133392334,0.01,2.2072105407714844,0.23222223,0.1286777393534677,0.14148317436992036,0.23292054624456857,0.03999781608581543
2.1934401988983154,0.285,0.22674415669817397,0.25103607503607506,0.27809523809523806,0.05000734329223633,0.01,2.197922468185425,0.22277778,0.11398559005082669,0.17725719932030332,0.2234667908131595,0.03999733924865723
2.1888465881347656,0.215,0.15634445198242028,0.16141239207877578,0.21047619047619043,0.04999899864196777,0.01,2.1882412433624268,0.23277777,0.12270051303477958,0.15344082792035918,0.23350713842333953,0.039998769760131836
2.184839963912964,0.22,0.16590423382300357,0.16368465179900937,0.2145238095238095,0.0500028133392334,0.01,2.1783254146575928,0.24,0.13403376138317596,0.1796630877951789,0.24074798261949099,0.03999924659729004
