loss,metric_acc,metric_f1,metric_precision,metric_recall,time,lr,val_loss,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,val_time
36.008331298828125,0.094,0.05946771814642079,0.0605343479444199,0.09353465346534653,1.580029010772705,0.01,220.6610107421875,0.132,0.06728305309010897,0.10997664198899401,0.13211111111111112,0.4200103282928467
257.8848876953125,0.135,0.0856900249468536,0.09324214468880658,0.13435432904992628,0.6700060367584229,0.01,100.36764526367188,0.19444445,0.11439928023674859,0.10600285401571094,0.19377777777777777,0.4000077247619629
126.51239776611328,0.18,0.1245308298192775,0.2527014641121137,0.183235727828102,0.6700408458709717,0.01,14.280801773071289,0.40166667,0.29031218022619204,0.30408049091236955,0.40199469118250103,0.40997838973999023
31.37294578552246,0.249,0.21158807121624285,0.36831588081791,0.24868253633874024,0.6700534820556641,0.01,5.7353973388671875,0.57122225,0.45860045988450426,0.5083833848348468,0.571647509578544,0.4099617004394531
13.632193565368652,0.365,0.3139402566692441,0.31041248495089135,0.36263808721297663,0.6700544357299805,0.01,3.0641849040985107,0.5547778,0.4506983701154317,0.4966456779694976,0.5551826721048078,0.409961462020874
6.4519572257995605,0.35,0.28808109147639394,0.3021205951379004,0.3477965030545608,0.670048713684082,0.01,1.4371963739395142,0.5913333,0.510011815998143,0.6215940452423786,0.5917791373130639,0.4100048542022705
2.8324081897735596,0.393,0.35135828714951367,0.39795284370276834,0.39070086370339163,0.6700119972229004,0.01,1.5376710891723633,0.44,0.3585132787553891,0.5623730177256835,0.43990436434563457,0.42000794410705566
2.1943013668060303,0.343,0.3012459923700426,0.3403793332399932,0.3419970507689067,0.6800460815429688,0.01,1.6698379516601562,0.44655555,0.36712598225299214,0.5800928284946775,0.44630439757690044,0.40996313095092773
1.9252667427062988,0.333,0.28147032233405916,0.39661804107525855,0.33226437750157994,0.6700689792633057,0.01,1.6485940217971802,0.4722222,0.3983104112863135,0.505721337812451,0.47233080988523746,0.40996289253234863
1.9045230150222778,0.334,0.28142414594667964,0.3636776505327074,0.3329783020855277,0.6800079345703125,0.01,1.6338653564453125,0.47566667,0.3610424032497862,0.46974879823407234,0.4758752272371967,0.41001009941101074
1.838520884513855,0.315,0.2501484497546579,0.27498165003752056,0.3138824520749947,0.6700129508972168,0.01,1.6344870328903198,0.4051111,0.2974217647515365,0.38013431589735736,0.40530991020191676,0.40999889373779297
1.8439887762069702,0.296,0.24762082439817273,0.2810103545205299,0.2948141984411207,0.6700167655944824,0.01,1.7297759056091309,0.40255556,0.2934512433964536,0.38474377090145606,0.4027760589191981,0.40996813774108887
