loss,metric_acc,metric_f1,metric_precision,metric_recall,time,lr,val_loss,val_metric_acc,val_metric_f1,val_metric_precision,val_metric_recall,val_time
2.3079166412353516,0.105,0.07495799270176232,0.07679817751436671,0.10244047619047618,0.04999899864196777,0.01,1.7667568922042847,0.79444444,0.7716737089599802,0.8327508588269857,0.7960594958572854,0.040000200271606445
1.7666363716125488,0.625,0.5992813173532363,0.6184785263046133,0.6151190476190476,0.05000042915344238,0.01,1.2933704853057861,0.7627778,0.7243968561651304,0.7284266973877243,0.7646989447548107,0.03000020980834961
1.289840579032898,0.73,0.7016246037936195,0.7811393844087342,0.7172619047619048,0.039997100830078125,0.01,0.8805603981018066,0.8527778,0.8389183388757104,0.880291843622126,0.8542120071249292,0.03999900817871094
0.8717960119247437,0.81,0.7946444582971735,0.8237286202359732,0.7995238095238095,0.03999638557434082,0.01,0.5993980169296265,0.9344444,0.9348666489305394,0.9376377820179629,0.9344797317356219,0.040003061294555664
0.6213720440864563,0.835,0.834746367732291,0.8463274406752668,0.8373214285714285,0.03999757766723633,0.01,0.42535293102264404,0.94222224,0.9426038383007009,0.9441315929550621,0.9422606131757212,0.04000258445739746
0.4700803756713867,0.895,0.8963168165607189,0.9032289055973267,0.8978571428571429,0.040000200271606445,0.01,0.33575695753097534,0.93666667,0.9364782200344488,0.9386193694339241,0.9369138126467492,0.04000377655029297
0.3254333436489105,0.915,0.9152553339120209,0.9217335953520165,0.913690476190476,0.04999423027038574,0.01,0.27528655529022217,0.9405556,0.9404369882509395,0.9425115584799231,0.9406719428926132,0.03000354766845703
0.24820594489574432,0.915,0.9140736093175118,0.9186659831396673,0.9133928571428571,0.03999805450439453,0.01,0.22878965735435486,0.9494445,0.9494184069511391,0.9508633030909117,0.9495100936496371,0.04000520706176758
0.1780720353126526,0.955,0.9552449375166334,0.9561955691367455,0.9564285714285713,0.049997806549072266,0.01,0.20022575557231903,0.95166665,0.9517678545160088,0.9530814277207131,0.9517512752003885,0.029996871948242188
0.14849184453487396,0.955,0.954520682569463,0.9584199134199134,0.9534523809523808,0.03999900817871094,0.01,0.1831960380077362,0.95166665,0.951820188593309,0.9532723742286866,0.9517757671443607,0.03999924659729004
0.12601245939731598,0.97,0.9691335890428345,0.9722134387351777,0.9677380952380952,0.050000667572021484,0.01,0.16455136239528656,0.95555556,0.9555605951502939,0.9558871403681343,0.9555890886028122,0.03000044822692871
0.12523578107357025,0.975,0.9743144355644355,0.9752924430641821,0.9739880952380953,0.04999494552612305,0.01,0.15551218390464783,0.9577778,0.9577697468579126,0.95807775548,0.9577871562356624,0.030001163482666016
0.11359510570764542,0.965,0.9646594374404376,0.966097060833903,0.9642261904761906,0.0500028133392334,0.01,0.14924822747707367,0.9588889,0.9588888998521039,0.9593364507159967,0.9588920600221303,0.029998302459716797
0.08722782135009766,0.975,0.9755632153817066,0.977649162431771,0.9759523809523809,0.040001630783081055,0.01,0.1424775868654251,0.9583333,0.9583029670697119,0.9584938802118186,0.9583730737052332,0.04000043869018555
0.06277482956647873,0.975,0.9744718655383966,0.9748196248196248,0.9759523809523809,0.039998769760131836,0.01,0.14156877994537354,0.9588889,0.9588744385783631,0.9592250270862206,0.9589893530888187,0.030002355575561523
0.040121544152498245,0.995,0.9951103160405486,0.9954545454545455,0.9949999999999999,0.05000185966491699,0.01,0.14467813074588776,0.96,0.9599994630802895,0.9604509653175187,0.9601004641999298,0.029998064041137695
0.04877142980694771,0.99,0.9902349682837489,0.9909090909090909,0.9902380952380951,0.039998531341552734,0.01,0.15298128128051758,0.95944446,0.9596044803426083,0.9609821576858494,0.9595659595714248,0.03999948501586914
0.06701482087373734,0.97,0.970025108827096,0.9717588932806324,0.9692261904761905,0.04000115394592285,0.01,0.15796484053134918,0.96,0.9602545998576971,0.9619017928139083,0.9600701022859146,0.040000200271606445
0.03946265950798988,0.99,0.9901071890862021,0.9906926406926407,0.99,0.05000162124633789,0.01,0.15226618945598602,0.9611111,0.9611756444895304,0.962212021995531,0.9611570588076539,0.029999256134033203
